Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,total_score,response.rt,Left_3.started,response_2.keys,response_2.corr,response_2.rt,response_3.keys,response_3.corr,response_3.rt,response_4.keys,response_4.corr,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2.7178884000004473,None,0,-2,,,,,,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,1.3179797000002509,left,1,-1,0.5059334999996281,,,,,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,,1.5011045000001104,right,0,-3,0.7184471999999005,,,,,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,0,3,3,1,,,,,,,,,,,,,1.4011948999996093,left,0,-5,0.5423318000002837,,,,,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,,,,,1.835155499999928,,,-4,,39.13330849999966,left,1,1.678077000000485,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2.5s.mp4,green,red,left,Countdown_2.5s.jpg,0,0,0,0,,,,,0,1,1,2,,,,,,,,,2.151269500000126,,,-3,,44.808910199999445,left,1,1.8022047000004022,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,0,0,0,0,,,,,0,2,2,1,,,,,,,,,1.9181556999992608,,,-2,,50.62759329999972,right,1,1.5595152000005328,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2.5s.mp4,red,green,right,Countdown_2.5s.jpg,0,0,0,0,,,,,0,3,3,0,,,,,,,,,1.8511487999994642,,,-1,,56.15568829999938,right,1,1.4963299999999435,,,,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,0,0,0,3,,,,,1.7344013000001723,,,0,,,,,,left,1,1.5776063000002978,,,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,3,0.11099600000034116,,,1,,,,,,,,,None,0,,,,,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.93668979999984,64.93668979999984,65.93669349999982,65.93669349999982,648152,1 - without skip,"60:40, 57:43","2.5s, 2.0s",2023-07-13_13h50.13.399,Rewa's Exp,2023.1.2,59.9901616133293,
