Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Left_3.started,Videoshowstart,Videoshowstop,VideoshowRT,response_2.keys,response_2.corr,key_skip_2.keys,total_score,Dot_ratio,current_score,response_2.rt,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,text_10.started,text_10.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,96.20948520000093,space,9.118341699999291,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.35590740000043,space,3.035759099999268,,,,,,,,,,,,,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,111.09666710000056,105.61584680000124,106.54697390000001,0.9311270999987755,None,0,None,-2,57:43,-2,,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,115.96515250000084,110.48422550000032,111.36350070000117,0.8792752000008477,left,0,None,-4,57:43,-2,0.8507035000002361,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,120.77476940000088,115.29396090000046,115.8636774000006,0.5697165000001405,right,0,None,-6,57:43,-2,0.5454422999991948,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,125.29392259999986,119.81313990000126,120.48015040000064,0.6670104999993782,right,0,None,-8,57:43,-2,0.649891099998058,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,129.9012027000008,124.42040540000016,125.20054130000062,0.7801359000004595,right,0,None,-10,57:43,-2,0.7624405999995361,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,134.59203049999996,129.11122680000153,129.86386180000045,0.7526349999989179,left,0,None,-12,57:43,-2,0.7290214999975433,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,139.31935030000022,133.83854040000006,134.86354780000147,1.0250074000014138,left,0,None,-14,57:43,-2,1.0009800999978324,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,144.24565780000012,138.76484500000151,139.54692840000098,0.7820833999994647,left,1,None,-13,57:43,1,0.7625635999975202,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,,143.27514580000025,144.13039560000107,0.85524980000082,,,,-12,54:46,1,,left,1,0.8355608000001666,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,148.04494180000074,148.7802378000015,0.7352960000007442,,,,-11,54:46,1,,left,1,0.7065307999982906,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,152.69564600000012,153.4969713999999,0.8013253999997687,,,,-13,54:46,-2,,left,0,0.7755885999995371,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,157.4141365000014,158.46354350000001,1.0494069999986095,,,,-12,54:46,1,,right,1,1.016732599999159,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,1,0,4,0,,,,,,,,,,,,,162.36458660000062,163.36358800000016,0.9990013999995426,,,,-14,54:46,-2,,left,0,0.9702952999996342,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1s.jpg,0,0,0,0,0,0,0,0,,,,,1,1,5,3,,,,,,,,,,,,,167.28449499999988,168.26397460000044,0.979479600000559,,,,-16,54:46,-2,,None,0,,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,0,0,0,0,0,0,0,0,,,,,1,2,6,2,,,,,,,,,,,,,172.17009870000038,173.13050530000146,0.9604066000010789,,,,-15,54:46,1,,left,1,0.9410655999981827,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,,,,,1,3,7,1,,,,,,,,,,,,,177.06777110000075,177.93038420000084,0.8626131000000896,,,,-17,54:46,-2,,left,0,0.8433653999982198,None,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,184.55593060000137,184.55593060000137,184.55593060000137,184.55593060000137,space,39.12480989999858,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_1s.jpg,1,0,1,0,0,0,0,0,0,0,0,1,,,,,0,0,0,1,,,,,,,,226.48398760000055,221.00313880000067,221.91385750000154,0.9107187000008707,left,0,None,-19,57:43,-2,0.8835959999978513,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
Countdown_1.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_1.5s.jpg,1,0,1,0,0,0,0,0,0,1,1,2,,,,,0,0,0,1,,,,,,,,231.36555210000006,225.88465950000136,226.8637303000014,0.979070800000045,left,1,None,-18,57:43,1,0.9470826999986457,,,,,,,,,,,,,Rachel,1 - without skip,"57:43, 54:46","1.5s, 1.0s",2023-07-20_16h26.29.600,Rewa's Exp,2023.1.2,60.05883363350552,
