Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,response_3.keys,response_3.corr,key_skip_3.keys,response_4.keys,response_4.corr,key_skip_4.keys,text_2.started,text_5.started,key_resp.started,key_resp.keys,key_resp.rt,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0.851474799999778,left,0,0.6579242999996495,None,-2,,,,,,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,1.7516082000001916,right,1,0.941484599998148,None,-1,,,,,,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,0,2,2,3,,,,,,,,,,,,,1.5678917999994155,left,1,0.7389722999996593,None,0,,,,,,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,0,3,3,2,,,,,,,,,,,,,1.367981499999587,right,0,0.5167872000001807,None,-2,,,,,,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1.001302200000282,,,,,-4,43.83935609999935,left,0,0.8525040999993507,None,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,0,1,1,2,,,,,,,,,1.0689789000007295,,,,,-6,48.64794330000041,right,0,0.7407795999988593,None,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,0,2,2,3,,,,,,,,,0.9346999000008509,,,,,-8,53.37145950000013,left,1,0.5679139000003488,None,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,0,3,3,1,,,,,,,,,1.3680942999999388,,,,,-10,57.92132970000057,None,0,,None,,,,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,,,,,0.07610770000064804,,,,,-10,,,,,,None,0,None,,,,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0.07450529999914579,,,,,-10,,,,,,,,,None,0,None,,,,,,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.56695000000036,60.56695000000036,60.56695000000036,space,12.214051899998594,237025,1 - without skip,"60:40, 57:43","1.5s, 1.0s",2023-07-13_15h27.40.976,Rewa's Exp,2023.1.2,60.037199048499325,
